"","uge.x","vare","X4.x","oms.x","prod_cat.x","intervention.x","oms"
"70","2","5700380806210","Knoldselleri",7,"celeriac","label",15
"71","2","5700380988244","Hvidk<e5>l 1000-1800 gr",4,"cale","label",9
"72","2","5700381206774","<d8>ko <c4>M porrer 1 stk",31,"leek","label",70
"73","2","5700381232315","<d8>KO <c4>M KART SM<c5>",28,"potato","label",43
"74","2","5700381563587","COOP DANSKVAND 2L",32,"water","label",60
"75","2","5700381660255","<c4>ngla <f8>ko gr<f8>nk<e5>l",10,"cale","label",14
"76","2","5700381715467","Br<f8>dC MINERALV 50cL",850,"bread","label",1143
"77","2","5700381757511","<c4>ngla <f8>ko Blomk<e5>l",3,"cale","label",5
"78","2","5700381768852","SF HINDB<c6>R 170 g.",42,"berries","label",54
"79","2","5700381779827","Porrer",45,"leek","label",88
"80","2","5700381884897","<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG",22,"flour","label",31
"81","2","5700382004812","<d8>ko <c4>M Portobello",6,"mushrooms","label",9
"82","2","5700382039487","P<e6>rer, store 6stk.DK",22,"pear","label",29
"83","2","5700382094080","<c4>ngla <f8>ko datterino",18,"tomato","label",43
"84","2","5700382338535","<d8>ko Spinat 200 gr",40,"spinage","label",77
"85","2","5700382391622","Spidsk<e5>l",75,"cale","label",137
"86","2","5700382516469","Courgette",69,"squash","label",89
"87","2","5700382724581","Broccoli",63,"broccoli","label",102
"88","2","5700382729920","X-tra Kartofler 2 kg",27,"potato","label",43
"89","2","5700382739325","<d8>KO <c4>M KART 1 KG",112,"potato","label",150
"90","2","5700382788019","<d8>KO <c4>NGLA. <c6>BLE Stor",16,"apples","label",34
"91","2","5700382801596","Blommer",29,"plums","label",53
"92","2","5700382815340","<d8>ko 365 Guler<f8>dder 1",20,"carrots","label",52
"93","2","5700382948277","Guler<f8>dder h<e5>ndsort.",11,"carrots","label",20
"94","2","5700383052218","Cocktail tomater",4,"tomato","label",5
"95","2","5700383201715","<d8>ko S<f8>ris Kart 750 g",16,"potato","label",30
"96","2","5700383591045","<d8>ko Courgetter",1,"squash","label",47
"97","2","5700383878061","San Marzanotomat",29,"tomato","label",52
"98","2","5700383979614","<c6>bler 6-8stk/bk. DK",NA,"apples","label",NA
"99","2","5700384125287","<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG",9,"flour","label",15
"100","2","5700384380556","<c4>M <d8>ko Blommetomater",19,"tomato","label",32
"101","2","5700384882302","SF Mix tomater",24,"tomato","label",34
"102","2","5700384899577","R<d8>DK<c5>L 1000-2000 GR",2,"cale","label",5
"103","2","5700384984211","GULER<d8>DDER 1,5 KG",34,"carrots","label",55
"104","2","5701677001257","CHAMPIGNON 250 gr.",16,"mushrooms","label",29
"105","2","5750006300721","Kart Vildmose 1,5 kg",12,"potato","label",43
"106","2","5750006304415","SF Kart Asparges 1 k",8,"potato","label",12
"107","2","5750006321023","<c4>NGLA P<c6>RER 500gr",7,"pear","label",12
"108","2","5750006323393","<d8>KO <c4>M Guler<f8>dder 1",36,"carrots","label",61
"109","2","5750006326691","<c4>ngla Broccoli",31,"broccoli","label",54
"110","2","5750006327728","<c4>ngla R<f8>dbeder 1 kg",8,"beats","label",14
"111","2","5750006329289","Blomk<e5>l",46,"cale","label",108
"112","2","5750006331084","Kartofler Bage 1,5 k",18,"potato","label",28
"113","2","5750006339622","Kartofler Mos 2 kg",13,"potato","label",21
"114","2","5750006343506","<c4>ngla <d8>ko tomater",9,"tomato","label",17
"115","2","5750006344084","Angla R<f8>dl<f8>g 750 gr",16,"onion","label",29
"116","2","5750006344138","K&A Classic tomater",6,"tomato","label",15
"117","2","5750006361050","P<c6>RER 1KG",18,"pear","label",48
"118","2","5750006363634","<c4>nglamark <e6>bler 1 kg",18,"apples","label",33
"119","2","5756605000390","Kart Alexandra 850 g",2,"potato","label",6
"120","2","7340011320777","<d8>KO <c4>NGLAMARK MAJSMEL 500 G",NA,"flour","label",NA
"121","2","7340011321194","COOP MINERALVAND 50C",191,"water","label",324
"122","2","7340011340058","L<d8>SE MAJS X-TRA 300/285 G",15,"corn","label",33
"123","2","7340011351085","COOP L<d8>SE MAJS 3-PAK 594/504 G",6,"corn","label",15
"124","2","7340011352549","FULDKORNSMEL COOP 1 KG",NA,"flour","label",NA
"125","2","7340011364368","COOP MINERALVAND 2L",29,"water","label",58
"126","2","7340011464587","X-TRA R<d8>DBEDER I SKIVER 670/430 G",8,"beats","label",13
"127","2","7340011481782","<d8>ko <c4>M HK Spinat",12,"spinage","label",16
"128","2","7340011487906","<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G",31,"chickpea","label",64
"129","2","7340191112582","<d8>ko <c4>M Broccoli 400g",11,"broccoli","label",16
