"","uge","Vare","X4","oms","prod_cat","ID"
"1","Uge 2021-40","57095370","KILDEV<c6>LD 50CL",17,"water",1
"2","Uge 2021-40","5700380222096","R<f8>dbeder 1,5 kg.",4,"beats",2
"3","Uge 2021-40","5700380268926","<d8>KO <c4>M SPIDSK<c5>L",19,"cale",3
"4","Uge 2021-40","5700380269572","L<f8>g 1 kg 40-60 mm",43,"tomato",4
"5","Uge 2021-40","5700380394816","Kart Lammefjord 1,5",18,"potato",5
"6","Uge 2021-40","5700380806210","Knoldselleri",7,"celeriac",6
"7","Uge 2021-40","5700380988244","Hvidk<e5>l 1000-1800 gr",4,"cale",7
"8","Uge 2021-40","5700381206774","<d8>ko <c4>M porrer 1 stk",31,"leek",8
"9","Uge 2021-40","5700381232315","<d8>KO <c4>M KART SM<c5>",28,"potato",9
"10","Uge 2021-40","5700381563587","COOP DANSKVAND 2L",32,"water",10
"11","Uge 2021-40","5700381660255","<c4>ngla <f8>ko gr<f8>nk<e5>l",10,"cale",11
"12","Uge 2021-40","5700381715467","Br<f8>dC MINERALV 50cL",850,"bread",12
"13","Uge 2021-40","5700381757511","<c4>ngla <f8>ko Blomk<e5>l",3,"cale",13
"14","Uge 2021-40","5700381768852","SF HINDB<c6>R 170 g.",42,"berries",14
"15","Uge 2021-40","5700381779827","Porrer",45,"leek",15
"16","Uge 2021-40","5700381884897","<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG",22,"flour",16
"17","Uge 2021-40","5700382004812","<d8>ko <c4>M Portobello",6,"mushrooms",17
"18","Uge 2021-40","5700382039487","P<e6>rer, store 6stk.DK",22,"pear",18
"19","Uge 2021-40","5700382094080","<c4>ngla <f8>ko datterino",18,"tomato",19
"20","Uge 2021-40","5700382338535","<d8>ko Spinat 200 gr",40,"spinage",20
"21","Uge 2021-40","5700382391622","Spidsk<e5>l",75,"cale",21
"22","Uge 2021-40","5700382516469","Courgette",69,"squash",22
"23","Uge 2021-40","5700382724581","Broccoli",63,"broccoli",23
"24","Uge 2021-40","5700382729920","X-tra Kartofler 2 kg",27,"potato",24
"25","Uge 2021-40","5700382739325","<d8>KO <c4>M KART 1 KG",112,"potato",25
"26","Uge 2021-40","5700382788019","<d8>KO <c4>NGLA. <c6>BLE Stor",16,"apples",26
"27","Uge 2021-40","5700382801596","Blommer",29,"plums",27
"28","Uge 2021-40","5700382815340","<d8>ko 365 Guler<f8>dder 1",20,"carrots",28
"29","Uge 2021-40","5700382948277","Guler<f8>dder h<e5>ndsort.",11,"carrots",29
"30","Uge 2021-40","5700383052218","Cocktail tomater",4,"tomato",30
"31","Uge 2021-40","5700383201715","<d8>ko S<f8>ris Kart 750 g",16,"potato",31
"32","Uge 2021-40","5700383591045","<d8>ko Courgetter",1,"squash",32
"33","Uge 2021-40","5700383878061","San Marzanotomat",29,"tomato",33
"34","Uge 2021-40","5700383979614","<c6>bler 6-8stk/bk. DK",NA,"apples",34
"35","Uge 2021-40","5700384125287","<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG",9,"flour",35
"36","Uge 2021-40","5700384380556","<c4>M <d8>ko Blommetomater",19,"tomato",36
"37","Uge 2021-40","5700384882302","SF Mix tomater",24,"tomato",37
"38","Uge 2021-40","5700384899577","R<d8>DK<c5>L 1000-2000 GR",2,"cale",38
"39","Uge 2021-40","5700384984211","GULER<d8>DDER 1,5 KG",34,"carrots",39
"40","Uge 2021-40","5701677001257","CHAMPIGNON 250 gr.",16,"mushrooms",40
"41","Uge 2021-40","5750006300721","Kart Vildmose 1,5 kg",12,"potato",41
"42","Uge 2021-40","5750006304415","SF Kart Asparges 1 k",8,"potato",42
"43","Uge 2021-40","5750006321023","<c4>NGLA P<c6>RER 500gr",7,"pear",43
"44","Uge 2021-40","5750006323393","<d8>KO <c4>M Guler<f8>dder 1",36,"carrots",44
"45","Uge 2021-40","5750006326691","<c4>ngla Broccoli",31,"broccoli",45
"46","Uge 2021-40","5750006327728","<c4>ngla R<f8>dbeder 1 kg",8,"beats",46
"47","Uge 2021-40","5750006329289","Blomk<e5>l",46,"cale",47
"48","Uge 2021-40","5750006331084","Kartofler Bage 1,5 k",18,"potato",48
"49","Uge 2021-40","5750006339622","Kartofler Mos 2 kg",13,"potato",49
"50","Uge 2021-40","5750006343506","<c4>ngla <d8>ko tomater",9,"tomato",50
"51","Uge 2021-40","5750006344084","Angla R<f8>dl<f8>g 750 gr",16,"onion",51
"52","Uge 2021-40","5750006344138","K&A Classic tomater",6,"tomato",52
"53","Uge 2021-40","5750006361050","P<c6>RER 1KG",18,"pear",53
"54","Uge 2021-40","5750006363634","<c4>nglamark <e6>bler 1 kg",18,"apples",54
"55","Uge 2021-40","5756605000390","Kart Alexandra 850 g",2,"potato",55
"56","Uge 2021-40","7340011320777","<d8>KO <c4>NGLAMARK MAJSMEL 500 G",NA,"flour",56
"57","Uge 2021-40","7340011321194","COOP MINERALVAND 50C",191,"water",57
"58","Uge 2021-40","7340011340058","L<d8>SE MAJS X-TRA 300/285 G",15,"corn",58
"59","Uge 2021-40","7340011351085","COOP L<d8>SE MAJS 3-PAK 594/504 G",6,"corn",59
"60","Uge 2021-40","7340011352549","FULDKORNSMEL COOP 1 KG",NA,"flour",60
"61","Uge 2021-40","7340011364368","COOP MINERALVAND 2L",29,"water",61
"62","Uge 2021-40","7340011464587","X-TRA R<d8>DBEDER I SKIVER 670/430 G",8,"beats",62
"63","Uge 2021-40","7340011481782","<d8>ko <c4>M HK Spinat",12,"spinage",63
"64","Uge 2021-40","7340011487906","<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G",31,"chickpea",64
"65","Uge 2021-40","7340191112582","<d8>ko <c4>M Broccoli 400g",11,"broccoli",65
