"","X1","X1_3","X1_2","X1_1","uge","vare","X3","prod_cat","intervention","oms.x","week","vare_grp","oms.y","diff","oms_con","...16","oms_con_total","diff_con","se","mean","overall_inc","percentage","prod_sold"
"23",23,23,189,NA,2,8015185002161,"QUEEN GR<d8>NTSAGS BOUILLON 200 G","j","Store + convenience bags",13,3,"boullion/seed",8,5,7,7,20,12,6.19637676922269,4.78260869565217,"0.85 %","100 %",1179
"24",1,NA,NA,1,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,21,-1,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"25",2,NA,NA,2,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,101,48,7,NA,7,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"26",3,NA,NA,3,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,111,-48,3,NA,3,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"27",4,NA,NA,4,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,24,-4,3,NA,3,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"28",5,NA,NA,5,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,80,11,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"29",6,NA,NA,6,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,43,10,3,NA,3,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"30",7,NA,NA,7,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,10,1,3,NA,3,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"31",8,NA,NA,8,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,13,3,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"32",9,NA,NA,9,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,153,112,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"33",10,NA,NA,10,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,40,11,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"34",11,NA,NA,11,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,45,-11,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"35",12,NA,NA,12,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,17,-1,7,NA,7,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"36",13,NA,NA,13,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,56,25,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"37",14,NA,NA,14,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,1,6,7,NA,7,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"38",15,NA,NA,15,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,54,5,3,NA,3,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"39",16,NA,NA,16,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,89,15,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"40",17,NA,NA,17,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,10,0,5,NA,5,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"41",18,NA,NA,18,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,26,16,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"42",19,NA,NA,19,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,66,-43,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"43",20,NA,NA,20,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,9,1,2,NA,2,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"44",21,NA,NA,21,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,4,16,7,NA,7,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"45",22,NA,NA,22,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,6,8,5,NA,5,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
"46",23,NA,NA,23,2,NA,NA,NA,"Convenience bags only",NA,NA,NA,8,12,7,NA,7,NA,6.21123828318339,8.34782608695652,"0.48 %","7 %",82
