"","X1","uge","vare","X3","prod_cat","intervention","oms.x","week","vare_grp","oms.y","diff","diff_perc","int_type","se","mean"
"46",47,1,5750006331084,"Kartofler Bage 1,5 k","potato","label",28,1,"vegetables",22,6,27.3,"labeling",5.03,-8.78
"47",48,1,5750006339622,"Kartofler Mos 2 kg","potato","label",21,1,"vegetables",19,2,10.5,"labeling",5.03,-8.78
"48",49,1,5750006343506,"<c4>ngla <d8>ko tomater","tomato","label",17,1,"vegetables",19,-2,-10.5,"labeling",5.03,-8.78
"49",50,1,5750006344084,"Angla R<f8>dl<f8>g 750 gr","onion","label",29,1,"vegetables",30,-1,-3.3,"labeling",5.03,-8.78
"50",51,1,5750006344138,"K&A Classic tomater","tomato","label",15,1,"vegetables",38,-23,-60.5,"labeling",5.03,-8.78
"51",52,1,5750006361050,"P<c6>RER 1KG","pear","label",48,1,"fruit",38,10,26.3,"labeling",5.03,-8.78
"52",53,1,5750006363634,"<c4>nglamark <e6>bler 1 kg","apples","label",33,1,"fruit",88,-55,-62.5,"labeling",5.03,-8.78
"53",54,1,5756605000390,"Kart Alexandra 850 g","potato","label",6,1,"vegetables",6,0,0,"labeling",5.03,-8.78
"54",55,1,7340011321194,"COOP MINERALVAND 50C","water","label",324,1,"water",382,-58,-15.2,"labeling",5.03,-8.78
"55",56,1,7340011340058,"L<d8>SE MAJS X-TRA 300/285 G","corn","label",33,1,"canned",34,-1,-2.9,"labeling",5.03,-8.78
"56",57,1,7340011351085,"COOP L<d8>SE MAJS 3-PAK 594/504 G","corn","label",15,1,"canned",10,5,50,"labeling",5.03,-8.78
"57",58,1,7340011364368,"COOP MINERALVAND 2L","water","label",58,1,"water",55,3,5.5,"labeling",5.03,-8.78
"58",59,1,7340011464587,"X-TRA R<d8>DBEDER I SKIVER 670/430 G","beats","label",13,1,"vegetables",16,-3,-18.8,"labeling",5.03,-8.78
"59",60,1,7340011481782,"<d8>ko <c4>M HK Spinat","spinage","label",16,1,"vegetables",18,-2,-11.1,"labeling",5.03,-8.78
"60",61,1,7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","label",64,1,"canned",62,2,3.2,"labeling",5.03,-8.78
"61",62,1,7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","label",16,1,"vegetables",16,0,0,"labeling",5.03,-8.78
"62",63,1,5700382516469,"Courgette","squash","nudge",149,2,"vegetables",62,87,140.3,"nudging",18.29,7.14
"63",64,1,5700383878061,"San Marzanotomat","tomato","nudge",58,2,"vegetables",119,-61,-51.3,"nudging",18.29,7.14
"64",65,1,5750006326691,"<c4>ngla Broccoli","broccoli","nudge",93,2,"vegetables",40,53,132.5,"nudging",18.29,7.14
"65",66,1,7340011481782,"<d8>ko <c4>M HK Spinat","spinage","nudge",8,2,"vegetables",18,-10,-55.6,"nudging",18.29,7.14
"66",67,1,7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","nudge",49,2,"canned",62,-13,-21,"nudging",18.29,7.14
"67",68,1,7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","nudge",10,2,"vegetables",16,-6,-37.5,"nudging",18.29,7.14
"68",69,1,7340191112711,"Coop HK spinat 1kg","spinage","nudge",10,2,"vegetables",10,0,0,"nudging",18.29,7.14
"69",93,2,NA,NA,NA,"inspiration",NA,NA,NA,21,-1,NA,"convenience_bags",6.21,8.35
"70",94,2,NA,NA,NA,"inspiration",NA,NA,NA,101,48,NA,"convenience_bags",6.21,8.35
"71",95,2,NA,NA,NA,"inspiration",NA,NA,NA,111,-48,NA,"convenience_bags",6.21,8.35
"72",96,2,NA,NA,NA,"inspiration",NA,NA,NA,24,-4,NA,"convenience_bags",6.21,8.35
"73",97,2,NA,NA,NA,"inspiration",NA,NA,NA,80,11,NA,"convenience_bags",6.21,8.35
