intro_1;intro_2;intro_3;intro_4;intro_5;oplys_1;oplys_2;oplys_3;oplys_4;oplys_5;insp_1;insp_2;insp_3;insp_4;nudge_1;nudge_2;nudge_3;nudge_4;E-mail;Samlet status - Ny;Samlet status - Distribueret;Samlet status - Nogen svar;Samlet status - Gennemført;Samlet status - Frafaldet;Hvor besvarer du dette spørgsmål henne?;Hvilken grund er der til, at du ikke ønsker dette?;Hvilken grund er der til, at du ikke ønsker dette? - Andet:
Ja;Enig;Delvis uenig;Enig;Uenig;Delvis uenig;Delvis uenig;Enig;Delvis enig;Hverken eller;Enig;Enig;Enig;Enig;Enig;Delvis uenig;Delvis enig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Delvis enig;Delvis enig;Enig;Uenig;Delvis enig;Delvis enig;Enig;Delvis enig;Hverken eller;Enig;Enig;Enig;Hverken eller;Hverken eller;Delvis uenig;Hverken eller;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;;;;;;;;;;;;;;;;;;;0;0;1;0;0;Via Kvicklys lokale Facebookside ;;
Ja;Hverken eller;Enig;Hverken eller;Delvis enig;Delvis enig;Delvis uenig;Enig;Delvis enig;Hverken eller;Hverken eller;Hverken eller;Delvis enig;Enig;Delvis enig;Enig;Uenig;Delvis enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Enig;Hverken eller;Delvis enig;Delvis enig;Delvis enig;Hverken eller;Delvis enig;Delvis enig;Delvis enig;Delvis enig;Hverken eller;Enig;Delvis enig;Delvis enig;Enig;Hverken eller;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Hverken eller;Delvis enig;Hverken eller;Hverken eller;Delvis enig;Hverken eller;Enig;Delvis uenig;Delvis enig;Delvis uenig;Delvis enig;Delvis enig;Enig;Hverken eller;Enig;Uenig;Enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Ja;Hverken eller;Delvis enig;Delvis enig;Delvis enig;Enig;Hverken eller;Hverken eller;Enig;Enig;Delvis enig;Hverken eller;Hverken eller;Hverken eller;Hverken eller;Enig;Hverken eller;Hverken eller;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
Nej;;;;;;;;;;;;;;;;;;;0;0;0;1;0;Via Kvicklys lokale Facebookside ;Andet:;Jeg køber helst lokale varer, eller i det mindste danske, hvor det er muligt.
Nej;;;;;;;;;;;;;;;;;;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);Jeg handler i forvejen tilstrækkeligt klimavenligt  ;
Ja;Hverken eller;Enig;Hverken eller;Enig;Hverken eller;Uenig;Delvis enig;Delvis enig;Hverken eller;Delvis uenig;Delvis enig;Delvis enig;Enig;Enig;Enig;Hverken eller;Delvis enig;;0;0;0;1;0;Kvickly, Bruuns Galleri (fysisk);;
