Salgsplads;uge;vare;;oms;index_oms_stk;oms_kr;index_oms_kr;avance_kr;index_avanc_ kr;avance_perc;antal_kunder_1000;oms_pr_1000_kunde;avance_pr_1000_kunde
Plads 01;Uge 2021-40;5700381715467;BrødC MINERALV 50cL;382;5.457;3.056;5.197;2.396;5.199;78,4%;9;351 ;275
Plads 01;Uge 2021-40;5700381757511;Ängla øko Blomkål;2;15;32;17;11;17;34,7%;9;4 ;1
Plads 01;Uge 2021-40;5700381768852;SF HINDBÆR 170 g.;32;107;640;91;168;89;26,3%;9;73 ;19
Plads 01;Uge 2021-40;5700381779827;Porrer;31;238;124;281;70;342;56,2%;9;14 ;8
Plads 01;Uge 2021-40;5700381884897;ØKO ÄNGLAMARK HVEDEMEL DK 2 KG;7;;106;;27;;25,2%;9;12 ;3
Plads 01;Uge 2021-40;5700382004812;Øko ÄM Portobello;7;233;126;263;43;352;33,7%;9;14 ;5
Plads 01;Uge 2021-40;5700382039487;Pærer, store 6stk.DK;37;;799;;321;;40,2%;9;92 ;37
Plads 01;Uge 2021-40;5700382094080;Ängla øko datterino;27;;476;;260;;54,6%;9;55 ;30
Plads 01;Uge 2021-40;5700382338535;Øko Spinat 200 gr;47;142;736;139;244;137;33,1%;9;84 ;28
Plads 01;Uge 2021-40;5700382391622;Spidskål;43;126;320;118;137;144;42,9%;9;37 ;16
Plads 01;Uge 2021-40;5700382516469;Courgette;52;;270;;146;;53,8%;9;31 ;17
Plads 01;Uge 2021-40;5700382724581;Broccoli;193;1.072;1.235;613;-46;-54;-3,8%;9;142 ;-5
Plads 01;Uge 2021-40;5700382729920;X-tra Kartofler 2 kg;20;105;240;105;104;105;43,3%;9;28 ;12
Plads 01;Uge 2021-40;5700382739325;ØKO ÄM KART 1 KG;51;189;449;189;129;198;28,6%;9;51 ;15
Plads 01;Uge 2021-40;5700382788019;ØKO ÄNGLA. ÆBLE Stor;15;88;360;102;129;120;35,8%;9;41 ;15
Plads 01;Uge 2021-40;5700382801596;Blommer;24;44;53;49;29;95;54,5%;9;6 ;3
Plads 01;Uge 2021-40;5700382948277;Gulerødder håndsort.;16;114;205;183;122;416;59,4%;9;23 ;14
Plads 01;Uge 2021-40;5700383052218;Cocktail tomater;3;;53;;37;;70,5%;9;6 ;4
Plads 01;Uge 2021-40;5700383201715;Øko Søris Kart 750 g;5;56;92;71;35;124;38,1%;9;11 ;4
Plads 01;Uge 2021-40;5700383591045;Øko Courgetter;15;21;90;20;28;22;30,7%;9;10 ;3
Plads 01;Uge 2021-40;5700383878061;San Marzanotomat;45;300;604;337;224;482;37,1%;9;69 ;26
Plads 01;Uge 2021-40;5700384125287;ØKO ÄNGLAMARK HVEDEMEL DK 1 KG;5;;48;;18;;37,7%;9;5 ;2
Plads 01;Uge 2021-40;5700384380556;ÄM Øko Blommetomater;15;58;294;57;117;55;39,6%;9;34 ;13
Plads 01;Uge 2021-40;5700384882302;SF Mix tomater;15;;264;;120;;45,5%;9;30 ;14
Plads 01;Uge 2021-40;5700384899577;RØDKÅL 1000-2000 GR;;0;;0;0;0;;9;0 ;0
Plads 01;Uge 2021-40;5700384984211;GULERØDDER 1,5 KG;27;129;281;152;140;189;49,8%;9;32 ;16
Plads 01;Uge 2021-40;5701677001257;CHAMPIGNON 250 gr.;26;;259;;51;;19,8%;9;30 ;6
Plads 01;Uge 2021-40;5750006300721;Kart Vildmose 1,5 kg;8;267;104;260;48;253;45,8%;9;12 ;5
Plads 01;Uge 2021-40;5750006304415;SF Kart Asparges 1 k;7;117;123;128;55;147;44,5%;9;14 ;6
Plads 01;Uge 2021-40;5750006321023;ÄNGLA PÆRER 500gr;5;38;80;43;33;46;41,9%;9;9 ;4
Plads 01;Uge 2021-40;5750006323393;ØKO ÄM Gulerødder 1;57;81;502;90;190;131;37,9%;9;58 ;22
Plads 01;Uge 2021-40;5750006326691;Ängla Broccoli;15;45;168;45;30;35;17,6%;9;19 ;3
Plads 01;Uge 2021-40;5750006327728;Ängla Rødbeder 1 kg;9;150;80;140;35;129;43,9%;9;9 ;4
Plads 01;Uge 2021-40;5750006329289;Blomkål;47;247;409;168;117;99;28,7%;9;47 ;13
Plads 01;Uge 2021-40;5750006331084;Kartofler Bage 1,5 k;8;267;102;427;42;3.467;40,6%;9;12 ;5
Plads 01;Uge 2021-40;5750006339622;Kartofler Mos 2 kg;10;111;136;111;68;111;50,0%;9;16 ;8
Plads 01;Uge 2021-40;5750006343506;Ängla Øko tomater;9;69;194;69;77;49;39,5%;9;22 ;9
Plads 01;Uge 2021-40;5750006344084;Angla Rødløg 750 gr;21;105;286;105;113;105;39,7%;9;33 ;13
Plads 01;Uge 2021-40;5750006344138;K&A Classic tomater;26;371;380;339;98;271;25,7%;9;44 ;11
