"","uge","vare","X4","oms","prod_cat"
"1","Uge 2021-40","57095370","KILDEV<c6>LD 50CL",11,"water"
"2","Uge 2021-40","5700380222096","R<f8>dbeder 1,5 kg.",2,"beats"
"3","Uge 2021-40","5700380268926","<d8>KO <c4>M SPIDSK<c5>L",25,"cale"
"4","Uge 2021-40","5700380269572","L<f8>g 1 kg 40-60 mm",38,"tomato"
"5","Uge 2021-40","5700380394816","Kart Lammefjord 1,5",40,"potato"
"6","Uge 2021-40","5700380806210","Knoldselleri",5,"celeriac"
"7","Uge 2021-40","5700380988244","Hvidk<e5>l 1000-1800 gr",6,"cale"
"8","Uge 2021-40","5700381206774","<d8>ko <c4>M porrer 1 stk",44,"leek"
"9","Uge 2021-40","5700381232315","<d8>KO <c4>M KART SM<c5>",15,"potato"
"10","Uge 2021-40","5700381563587","COOP DANSKVAND 2L",18,"water"
"11","Uge 2021-40","5700381660255","<c4>ngla <f8>ko gr<f8>nk<e5>l",5,"cale"
"12","Uge 2021-40","5700381715467","Br<f8>dC MINERALV 50cL",382,"bread"
"13","Uge 2021-40","5700381757511","<c4>ngla <f8>ko Blomk<e5>l",2,"cale"
"14","Uge 2021-40","5700381768852","SF HINDB<c6>R 170 g.",32,"berries"
"15","Uge 2021-40","5700381779827","Porrer",31,"leek"
"16","Uge 2021-40","5700381884897","<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG",7,"flour"
"17","Uge 2021-40","5700382004812","<d8>ko <c4>M Portobello",7,"mushrooms"
"18","Uge 2021-40","5700382039487","P<e6>rer, store 6stk.DK",37,"pear"
"19","Uge 2021-40","5700382094080","<c4>ngla <f8>ko datterino",27,"tomato"
"20","Uge 2021-40","5700382338535","<d8>ko Spinat 200 gr",47,"spinage"
"21","Uge 2021-40","5700382391622","Spidsk<e5>l",43,"cale"
"22","Uge 2021-40","5700382516469","Courgette",52,"squash"
"23","Uge 2021-40","5700382724581","Broccoli",193,"broccoli"
"24","Uge 2021-40","5700382729920","X-tra Kartofler 2 kg",20,"potato"
"25","Uge 2021-40","5700382739325","<d8>KO <c4>M KART 1 KG",51,"potato"
"26","Uge 2021-40","5700382788019","<d8>KO <c4>NGLA. <c6>BLE Stor",15,"apples"
"27","Uge 2021-40","5700382801596","Blommer",24,"plums"
"28","Uge 2021-40","5700382948277","Guler<f8>dder h<e5>ndsort.",16,"carrots"
"29","Uge 2021-40","5700383052218","Cocktail tomater",3,"tomato"
"30","Uge 2021-40","5700383201715","<d8>ko S<f8>ris Kart 750 g",5,"potato"
"31","Uge 2021-40","5700383591045","<d8>ko Courgetter",15,"squash"
"32","Uge 2021-40","5700383878061","San Marzanotomat",45,"tomato"
"33","Uge 2021-40","5700384125287","<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG",5,"flour"
"34","Uge 2021-40","5700384380556","<c4>M <d8>ko Blommetomater",15,"tomato"
"35","Uge 2021-40","5700384882302","SF Mix tomater",15,"tomato"
"36","Uge 2021-40","5700384899577","R<d8>DK<c5>L 1000-2000 GR",NA,"cale"
"37","Uge 2021-40","5700384984211","GULER<d8>DDER 1,5 KG",27,"carrots"
"38","Uge 2021-40","5701677001257","CHAMPIGNON 250 gr.",26,"mushrooms"
"39","Uge 2021-40","5750006300721","Kart Vildmose 1,5 kg",8,"potato"
"40","Uge 2021-40","5750006304415","SF Kart Asparges 1 k",7,"potato"
"41","Uge 2021-40","5750006321023","<c4>NGLA P<c6>RER 500gr",5,"pear"
"42","Uge 2021-40","5750006323393","<d8>KO <c4>M Guler<f8>dder 1",57,"carrots"
"43","Uge 2021-40","5750006326691","<c4>ngla Broccoli",15,"broccoli"
"44","Uge 2021-40","5750006327728","<c4>ngla R<f8>dbeder 1 kg",9,"beats"
"45","Uge 2021-40","5750006329289","Blomk<e5>l",47,"cale"
"46","Uge 2021-40","5750006331084","Kartofler Bage 1,5 k",8,"potato"
"47","Uge 2021-40","5750006339622","Kartofler Mos 2 kg",10,"potato"
"48","Uge 2021-40","5750006343506","<c4>ngla <d8>ko tomater",9,"tomato"
"49","Uge 2021-40","5750006344084","Angla R<f8>dl<f8>g 750 gr",21,"onion"
"50","Uge 2021-40","5750006344138","K&A Classic tomater",26,"tomato"
"51","Uge 2021-40","5750006361050","P<c6>RER 1KG",17,"pear"
"52","Uge 2021-40","5750006363634","<c4>nglamark <e6>bler 1 kg",26,"apples"
"53","Uge 2021-40","5756605000390","Kart Alexandra 850 g",2,"potato"
"54","Uge 2021-40","7340011320777","<d8>KO <c4>NGLAMARK MAJSMEL 500 G",1,"flour"
"55","Uge 2021-40","7340011321194","COOP MINERALVAND 50C",109,"water"
"56","Uge 2021-40","7340011340058","L<d8>SE MAJS X-TRA 300/285 G",10,"corn"
"57","Uge 2021-40","7340011351085","COOP L<d8>SE MAJS 3-PAK 594/504 G",2,"corn"
"58","Uge 2021-40","7340011352549","FULDKORNSMEL COOP 1 KG",4,"flour"
"59","Uge 2021-40","7340011364368","COOP MINERALVAND 2L",31,"water"
"60","Uge 2021-40","7340011464587","X-TRA R<d8>DBEDER I SKIVER 670/430 G",8,"beats"
"61","Uge 2021-40","7340011481782","<d8>ko <c4>M HK Spinat",7,"spinage"
"62","Uge 2021-40","7340011487906","<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G",27,"chickpea"
"63","Uge 2021-40","7340191112582","<d8>ko <c4>M Broccoli 400g",5,"broccoli"
