"","X1","uge","vare","X3","prod_cat","intervention","oms","week"
"76",76,2,5700381715467,"Br<f8>dC MINERALV 50cL","bread","label",1143,1
"77",77,2,5700381757511,"<c4>ngla <f8>ko Blomk<e5>l","cale","label",5,1
"78",78,2,5700381768852,"SF HINDB<c6>R 170 g.","berries","label",54,1
"79",79,2,5700381779827,"Porrer","leek","label",88,1
"80",80,2,5700381884897,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG","flour","label",31,1
"81",81,2,5700382004812,"<d8>ko <c4>M Portobello","mushrooms","label",9,1
"82",82,2,5700382039487,"P<e6>rer, store 6stk.DK","pear","label",29,1
"83",83,2,5700382094080,"<c4>ngla <f8>ko datterino","tomato","label",43,1
"84",84,2,5700382338535,"<d8>ko Spinat 200 gr","spinage","label",77,1
"85",85,2,5700382391622,"Spidsk<e5>l","cale","label",137,1
"86",86,2,5700382516469,"Courgette","squash","label",89,1
"87",87,2,5700382724581,"Broccoli","broccoli","label",102,1
"88",88,2,5700382729920,"X-tra Kartofler 2 kg","potato","label",43,1
"89",89,2,5700382739325,"<d8>KO <c4>M KART 1 KG","potato","label",150,1
"90",90,2,5700382788019,"<d8>KO <c4>NGLA. <c6>BLE Stor","apples","label",34,1
"91",91,2,5700382801596,"Blommer","plums","label",53,1
"92",92,2,5700382815340,"<d8>ko 365 Guler<f8>dder 1","carrots","label",52,1
"93",93,2,5700382948277,"Guler<f8>dder h<e5>ndsort.","carrots","label",20,1
"94",94,2,5700383052218,"Cocktail tomater","tomato","label",5,1
"95",95,2,5700383201715,"<d8>ko S<f8>ris Kart 750 g","potato","label",30,1
"96",96,2,5700383591045,"<d8>ko Courgetter","squash","label",47,1
"97",97,2,5700383878061,"San Marzanotomat","tomato","label",52,1
"98",98,2,5700383979614,"<c6>bler 6-8stk/bk. DK","apples","label",NA,1
"99",99,2,5700384125287,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG","flour","label",15,1
"100",100,2,5700384380556,"<c4>M <d8>ko Blommetomater","tomato","label",32,1
"101",101,2,5700384882302,"SF Mix tomater","tomato","label",34,1
"102",102,2,5700384899577,"R<d8>DK<c5>L 1000-2000 GR","cale","label",5,1
"103",103,2,5700384984211,"GULER<d8>DDER 1,5 KG","carrots","label",55,1
"104",104,2,5701677001257,"CHAMPIGNON 250 gr.","mushrooms","label",29,1
"105",105,2,5750006300721,"Kart Vildmose 1,5 kg","potato","label",43,1
"106",106,2,5750006304415,"SF Kart Asparges 1 k","potato","label",12,1
"107",107,2,5750006321023,"<c4>NGLA P<c6>RER 500gr","pear","label",12,1
"108",108,2,5750006323393,"<d8>KO <c4>M Guler<f8>dder 1","carrots","label",61,1
"109",109,2,5750006326691,"<c4>ngla Broccoli","broccoli","label",54,1
"110",110,2,5750006327728,"<c4>ngla R<f8>dbeder 1 kg","beats","label",14,1
"111",111,2,5750006329289,"Blomk<e5>l","cale","label",108,1
"112",112,2,5750006331084,"Kartofler Bage 1,5 k","potato","label",28,1
"113",113,2,5750006339622,"Kartofler Mos 2 kg","potato","label",21,1
"114",114,2,5750006343506,"<c4>ngla <d8>ko tomater","tomato","label",17,1
"115",115,2,5750006344084,"Angla R<f8>dl<f8>g 750 gr","onion","label",29,1
"116",116,2,5750006344138,"K&A Classic tomater","tomato","label",15,1
"117",117,2,5750006361050,"P<c6>RER 1KG","pear","label",48,1
"118",118,2,5750006363634,"<c4>nglamark <e6>bler 1 kg","apples","label",33,1
"119",119,2,5756605000390,"Kart Alexandra 850 g","potato","label",6,1
"120",120,2,7340011320777,"<d8>KO <c4>NGLAMARK MAJSMEL 500 G","flour","label",NA,1
"121",121,2,7340011321194,"COOP MINERALVAND 50C","water","label",324,1
"122",122,2,7340011340058,"L<d8>SE MAJS X-TRA 300/285 G","corn","label",33,1
"123",123,2,7340011351085,"COOP L<d8>SE MAJS 3-PAK 594/504 G","corn","label",15,1
"124",124,2,7340011352549,"FULDKORNSMEL COOP 1 KG","flour","label",NA,1
"125",125,2,7340011364368,"COOP MINERALVAND 2L","water","label",58,1
"126",126,2,7340011464587,"X-TRA R<d8>DBEDER I SKIVER 670/430 G","beats","label",13,1
"127",127,2,7340011481782,"<d8>ko <c4>M HK Spinat","spinage","label",16,1
"128",128,2,7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","label",64,1
"129",129,2,7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","label",16,1
