"","X1","uge","vare","X3","prod_cat","intervention","oms","week","vare_grp"
"61",61,"1",7340011464587,"X-TRA R<d8>DBEDER I SKIVER 670/430 G","beats","reference",16,"1","vegetables"
"62",62,"1",7340011481782,"<d8>ko <c4>M HK Spinat","spinage","reference",18,"1","vegetables"
"63",63,"1",7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","reference",62,"1","canned"
"64",64,"1",7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","reference",16,"1","vegetables"
"65",65,"1",57095370,"KILDEV<c6>LD 50CL","water","label",46,"1","water"
"66",66,"1",5700380222096,"R<f8>dbeder 1,5 kg.","beats","label",5,"1","vegetables"
"67",67,"1",5700380268926,"<d8>KO <c4>M SPIDSK<c5>L","cale","label",39,"1","vegetables"
"68",68,"1",5700380269572,"L<f8>g 1 kg 40-60 mm","onion","label",87,"1","vegetables"
"69",69,"1",5700380394816,"Kart Lammefjord 1,5","potato","label",28,"1","vegetables"
"70",70,"1",5700380806210,"Knoldselleri","celeriac","label",15,"1","vegetables"
"71",71,"1",5700380988244,"Hvidk<e5>l 1000-1800 gr","cale","label",9,"1","vegetables"
"72",72,"1",5700381206774,"<d8>ko <c4>M porrer 1 stk","leek","label",70,"1","vegetables"
"73",73,"1",5700381232315,"<d8>KO <c4>M KART SM<c5>","potato","label",43,"1","vegetables"
"74",74,"1",5700381563587,"COOP DANSKVAND 2L","water","label",60,"1","water"
"75",75,"1",5700381660255,"<c4>ngla <f8>ko gr<f8>nk<e5>l","cale","label",14,"1","vegetables"
"76",76,"1",5700381715467,"Br<f8>dC MINERALV 50cL","bread","label",1143,"1","bread/flour"
"77",77,"1",5700381757511,"<c4>ngla <f8>ko Blomk<e5>l","cale","label",5,"1","vegetables"
"78",78,"1",5700381768852,"SF HINDB<c6>R 170 g.","berries","label",54,"1","fruit"
"79",79,"1",5700381779827,"Porrer","leek","label",88,"1","vegetables"
"80",80,"1",5700381884897,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 2 KG","flour","label",31,"1","bread/flour"
"81",81,"1",5700382004812,"<d8>ko <c4>M Portobello","mushrooms","label",9,"1","vegetables"
"82",82,"1",5700382039487,"P<e6>rer, store 6stk.DK","pear","label",29,"1","fruit"
"83",83,"1",5700382094080,"<c4>ngla <f8>ko datterino","tomato","label",43,"1","vegetables"
"84",84,"1",5700382338535,"<d8>ko Spinat 200 gr","spinage","label",77,"1","vegetables"
"85",85,"1",5700382391622,"Spidsk<e5>l","cale","label",137,"1","vegetables"
"86",86,"1",5700382516469,"Courgette","squash","label",89,"1","vegetables"
"87",87,"1",5700382724581,"Broccoli","broccoli","label",102,"1","vegetables"
"88",88,"1",5700382729920,"X-tra Kartofler 2 kg","potato","label",43,"1","vegetables"
"89",89,"1",5700382739325,"<d8>KO <c4>M KART 1 KG","potato","label",150,"1","vegetables"
"90",90,"1",5700382788019,"<d8>KO <c4>NGLA. <c6>BLE Stor","apples","label",34,"1","fruit"
"91",91,"1",5700382801596,"Blommer","plums","label",53,"1","fruit"
"92",92,"1",5700382815340,"<d8>ko 365 Guler<f8>dder 1","carrots","label",52,"1","vegetables"
"93",93,"1",5700382948277,"Guler<f8>dder h<e5>ndsort.","carrots","label",20,"1","vegetables"
"94",94,"1",5700383052218,"Cocktail tomater","tomato","label",5,"1","vegetables"
"95",95,"1",5700383201715,"<d8>ko S<f8>ris Kart 750 g","potato","label",30,"1","vegetables"
"96",96,"1",5700383591045,"<d8>ko Courgetter","squash","label",47,"1","vegetables"
"97",97,"1",5700383878061,"San Marzanotomat","tomato","label",52,"1","vegetables"
"98",98,"1",5700383979614,"<c6>bler 6-8stk/bk. DK","apples","label",NA,"1","fruit"
"99",99,"1",5700384125287,"<d8>KO <c4>NGLAMARK HVEDEMEL DK 1 KG","flour","label",15,"1","bread/flour"
"100",100,"1",5700384380556,"<c4>M <d8>ko Blommetomater","tomato","label",32,"1","vegetables"
"101",101,"1",5700384882302,"SF Mix tomater","tomato","label",34,"1","vegetables"
"102",102,"1",5700384899577,"R<d8>DK<c5>L 1000-2000 GR","cale","label",5,"1","vegetables"
"103",103,"1",5700384984211,"GULER<d8>DDER 1,5 KG","carrots","label",55,"1","vegetables"
"104",104,"1",5701677001257,"CHAMPIGNON 250 gr.","mushrooms","label",29,"1","vegetables"
"105",105,"1",5750006300721,"Kart Vildmose 1,5 kg","potato","label",43,"1","vegetables"
"106",106,"1",5750006304415,"SF Kart Asparges 1 k","potato","label",12,"1","vegetables"
"107",107,"1",5750006321023,"<c4>NGLA P<c6>RER 500gr","pear","label",12,"1","fruit"
"108",108,"1",5750006323393,"<d8>KO <c4>M Guler<f8>dder 1","carrots","label",61,"1","vegetables"
"109",109,"1",5750006326691,"<c4>ngla Broccoli","broccoli","label",54,"1","vegetables"
"110",110,"1",5750006327728,"<c4>ngla R<f8>dbeder 1 kg","beats","label",14,"1","vegetables"
"111",111,"1",5750006329289,"Blomk<e5>l","cale","label",108,"1","vegetables"
"112",112,"1",5750006331084,"Kartofler Bage 1,5 k","potato","label",28,"1","vegetables"
"113",113,"1",5750006339622,"Kartofler Mos 2 kg","potato","label",21,"1","vegetables"
"114",114,"1",5750006343506,"<c4>ngla <d8>ko tomater","tomato","label",17,"1","vegetables"
"115",115,"1",5750006344084,"Angla R<f8>dl<f8>g 750 gr","onion","label",29,"1","vegetables"
"116",116,"1",5750006344138,"K&A Classic tomater","tomato","label",15,"1","vegetables"
"117",117,"1",5750006361050,"P<c6>RER 1KG","pear","label",48,"1","fruit"
"118",118,"1",5750006363634,"<c4>nglamark <e6>bler 1 kg","apples","label",33,"1","fruit"
"119",119,"1",5756605000390,"Kart Alexandra 850 g","potato","label",6,"1","vegetables"
"120",120,"1",7340011320777,"<d8>KO <c4>NGLAMARK MAJSMEL 500 G","flour","label",NA,"1","bread/flour"
"121",121,"1",7340011321194,"COOP MINERALVAND 50C","water","label",324,"1","water"
"122",122,"1",7340011340058,"L<d8>SE MAJS X-TRA 300/285 G","corn","label",33,"1","canned"
"123",123,"1",7340011351085,"COOP L<d8>SE MAJS 3-PAK 594/504 G","corn","label",15,"1","canned"
"124",124,"1",7340011352549,"FULDKORNSMEL COOP 1 KG","flour","label",NA,"1","bread/flour"
"125",125,"1",7340011364368,"COOP MINERALVAND 2L","water","label",58,"1","water"
"126",126,"1",7340011464587,"X-TRA R<d8>DBEDER I SKIVER 670/430 G","beats","label",13,"1","vegetables"
"127",127,"1",7340011481782,"<d8>ko <c4>M HK Spinat","spinage","label",16,"1","vegetables"
"128",128,"1",7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","label",64,"1","canned"
"129",129,"1",7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","label",16,"1","vegetables"
"130",1,"2",5700382516469,"Courgette","squash","nudge",149,"2","vegetables"
"131",2,"2",5700382815340,"<d8>ko 365 Guler<f8>dder 1","carrots","nudge",40,"2","vegetables"
"132",3,"2",5700383878061,"San Marzanotomat","tomato","nudge",58,"2","vegetables"
"133",4,"2",5750006326691,"<c4>ngla Broccoli","broccoli","nudge",93,"2","vegetables"
"134",5,"2",7340011481782,"<d8>ko <c4>M HK Spinat","spinage","nudge",8,"2","vegetables"
"135",6,"2",7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","nudge",49,"2","canned"
"136",7,"2",7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","nudge",10,"2","vegetables"
"137",8,"2",7340191112711,"Coop HK spinat 1kg","spinage","nudge",10,"2","vegetables"
"138",9,"2",5700382516469,"Courgette","squash","reference",62,"2","vegetables"
"139",10,"2",5700383878061,"San Marzanotomat","tomato","reference",119,"2","vegetables"
"140",11,"2",5750006326691,"<c4>ngla Broccoli","broccoli","reference",40,"2","vegetables"
"141",12,"2",7340011481782,"<d8>ko <c4>M HK Spinat","spinage","reference",18,"2","vegetables"
"142",13,"2",7340011487906,"<d8>KO <c4>NGLAMARK KIK<c6>RTER 380/230 G","chickpea","reference",62,"2","canned"
"143",14,"2",7340191112582,"<d8>ko <c4>M Broccoli 400g","broccoli","reference",16,"2","vegetables"
